Item Fat Content,Sr No,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Regular,1,FDX32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1000135,15.1,145.4786,5
Low Fat,2,NCB42,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.008596051,11.8,115.3492,5
Regular,3,FDR28,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.025896485,13.85,165.021,5
Regular,4,FDL50,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.042277867,12.15,126.5046,5
Low Fat,5,DRI25,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.033970195,19.6,55.1614,5
low fat,6,FDS52,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.005505481,8.89,102.4016,5
Low Fat,7,NCU05,Health and Hygiene,2011,OUT010,Tier 3,Small,Grocery Store,0.098312421,11.8,81.4618,5
Low Fat,8,NCD30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.026903714,19.7,96.0726,5
Low Fat,9,FDW20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.024129332,20.75,124.173,5
Low Fat,10,FDX25,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.101561568,,181.9292,5
Low Fat,11,FDX21,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.084554569,,109.8912,5
Low Fat,12,NCU41,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.052044976,18.85,192.1846,5
Low Fat,13,FDL20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.128937661,17.1,112.3886,5
Low Fat,14,NCR54,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.090486828,16.35,195.211,5
Low Fat,15,FDH19,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03292824,,173.1738,5
Regular,16,FDB57,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.018801549,20.25,222.1772,5
Low Fat,17,FDO23,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.147023834,17.85,93.7436,5
Low Fat,18,NCB07,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.077628053,19.2,197.611,5
Low Fat,19,FDJ56,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.182514881,,98.77,5
Low Fat,20,DRN47,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.016895293,12.1,178.566,5
Regular,21,FDZ07,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0,,60.2194,5
Low Fat,22,NCK31,Others,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.026916794,,50.9666,5
Low Fat,23,FDJ41,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.022976497,6.85,261.6594,5
Low Fat,24,DRI51,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.042413704,17.25,173.1764,5
Regular,25,FDC40,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.065431917,16,76.1986,5
Low Fat,26,FDB53,Frozen Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.140241213,13.35,150.2392,5
